"Cell data file for inSALMO, Lower Gorge site",,,,
"Developed from Clear Creek River2D data, obtained from JWhite 11/30/2012",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
804,0.228,15.024,0.486,I
805,0.282,41.181,0.999,I
806,0.206,41.727,0.999,I
807,0.464,23.786,0.95,I
808,0.096,21.613,0.973,I
809,0.02,1.541,0,I
810,0.05,1.202,0.001,I
811,0.097,5.171,0.1,I
812,0.184,9.087,0.048,I
813,0.16,6.107,0,I
814,0.073,3.831,0,I
815,0.238,3.279,0,I
816,0.112,7.468,0,I
817,0.18,5.961,0,I
818,0.304,2.706,0,I
819,0.233,0.717,0,I
820,0.283,0.87,0,I
821,0.26,0.835,0,I
822,0.424,0.86,0,I
823,0.205,11.493,0.031,I
824,0.157,0.702,0,I
825,0.268,0.917,0,I
826,0.114,8.943,0,I
827,0.324,8.435,0,I
828,0.138,5.418,0,I
829,0.173,5.931,0,I
830,0.064,13.665,0,I
831,0.521,10.661,0.033,I
832,0.331,2.652,0.106,I
833,0.124,2.412,0,I
834,0.068,0.645,0,I
835,0.257,1.618,0,I
836,0.146,0.669,0,I
837,0,3.444,0,I
838,0.561,3.29,0.1,I
839,0.1,5.769,0,I
840,0.024,4.293,0.129,I
841,0.225,0.726,0,I
842,0.093,0.694,0,I
843,0.278,1.044,0,I
844,0.373,3.01,0.224,I
845,0.753,19.064,0.347,I
846,0.088,6.381,0.015,I
