"inSALMO cell data file, Clear Creek site Restoration 3C",,,,
From J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
410,0.903,1.932,0.072,I
411,0,8.597,0.98,I
412,0,2.249,0.943,I
413,1,1.314,0.999,I
414,0,4.801,0.988,I
415,0,12.119,0.999,I
416,0,9.774,1,I
417,0,12.132,0.9,I
418,0,14.078,1,I
419,0,6.307,0.707,I
420,0,4.031,0.019,I
421,0.21,1.728,0,I
422,0.37,1.899,0.124,I
423,0,1.64,0,I
424,0,9.144,0.967,I
425,0,13.171,0.999,I
426,0,4.449,0.869,I
427,0.49,1.015,0.964,I
428,0.464,0.976,0.066,I
429,0.768,2.34,0.882,I
430,1,0.908,0.132,I
431,0.408,0.639,1,I
432,0.287,0.719,0.999,I
433,0.323,1.018,1,I
434,0.506,1.084,0.999,I
435,0,3.053,1,I
436,0.41,0.712,0.999,I
437,0,5.345,1,I
438,0,2.765,0.999,I
439,0,11.204,1,I
440,0,11.694,0.886,I
441,0,10.521,1,I
442,0,5.976,0.172,I
443,0.426,1.508,0,I
444,0.693,2.287,0,I
445,0,6.238,0,I
446,0,12.129,0.154,I
447,0.135,7.474,0,I
448,0,13.518,0.78,I
449,0.15,16.983,0.81,I
450,0,25.135,1,I
451,0,19.387,0.877,I
452,0,7.492,0.999,I
453,0.937,7.387,0.999,I
454,0.117,5.433,0.633,I
455,0.468,10.585,0.999,I
456,0.386,1.457,0.197,I
457,0.125,10.988,0.999,I
458,0,13.812,0.754,I
459,0,6.653,0.997,I
460,0,20.906,1,I
461,0,14.316,1,I
462,0,14.008,0.987,I
463,0.405,6.838,0.983,I
464,1,2.323,0.217,I
465,0,6.141,0,I
466,0,4.161,0,I
467,1,6.565,0,I
468,1,5.221,0,I
469,0,8.942,0,I
470,0,11.145,0.613,I
471,0,17.006,0.999,I
472,0,10.635,0.674,I
473,0,20.079,0.999,I
474,0,13.614,0.714,I
475,0,16.773,0.959,I
476,0,20.27,1,I
477,0.197,2.424,0,I
478,1,0.949,0,I
479,0.971,1.001,0,I
480,0.372,1.943,0,I
481,0.136,6.289,0.135,I
482,0.148,1.301,0.079,I
483,0.658,1.706,0.044,I
484,1,8.968,0.676,I
485,0.073,9.438,0.588,I
486,0,12.135,0.638,I
487,0,15.393,0.785,I
488,0,16.548,0.783,I
489,0.836,15.524,0.659,I
490,0,15.44,0.8,I
491,0.675,8.921,0.038,I
492,0,3.259,0,I
493,0,3.987,0,I
494,0,1.493,0.097,I
495,0,3.284,0.947,I
496,0.339,6.684,0.627,I
497,0,4.733,0,I
498,0,1.504,0,I
499,0,2.555,0,I
500,0.363,0.968,0,I
501,0,0.663,0,I
502,0,0.767,0,I
503,1,2.686,0.062,I
504,1,5.825,0.048,I
505,0.112,8.7,0.256,I
506,0.141,11.036,0.822,I
507,0.159,13.651,0.983,I
508,0,15.176,0.553,I
509,0,10.823,0.119,I
510,0,2.026,0.837,I
511,0,3.113,0,I
512,0.187,5.837,0.023,I
513,0,9.63,0,I
514,0,4.382,0,I
515,0,9.476,0,I
516,0.112,8.16,0.076,I
517,0.615,17.01,0,I
