Hydraulic data input file for inSTREAM 4.5 																																														
Created from Clear Creek Reach 3c Data 14 OCT 2010 by D.S. Montoya																																														
flows	1.42		2.12		2.83		3.54		4.25		4.96		5.66		6.37		7.08		7.79		8.5		9.91		11.33		12.74		14.16		15.57		16.99		18.41		19.82		21.24		22.65		24.07		25.49	
poly-id	depth@050	veloc@050	depth@075	veloc@075	depth@100	veloc@100	depth@125	veloc@125	depth@150	veloc@150	depth@175	veloc@175	depth@200	veloc@200	depth@225	veloc@225	depth@250	veloc@250	depth@275	veloc@275	depth@300	veloc@300	depth@350	veloc@350	depth@400	veloc@400	depth@450	veloc@450	depth@500	veloc@500	depth@550	veloc@550	depth@600	veloc@600	depth@650	veloc@650	depth@700	veloc@700	depth@750	veloc@750	depth@800	veloc@800	depth@850	veloc@850	depth@900	veloc@900
31	-0.0755	0.156	-0.0125	0.2019	0.0434	0.2544	0.0951	0.3035	0.1352	0.3383	0.178	0.3919	0.217	0.4266	0.2482	0.4516	0.2836	0.4816	0.3184	0.5256	0.353	0.5887	0.4131	0.6791	0.4673	0.7422	0.5203	0.7971	0.5672	0.836	0.6159	0.8732	0.6583	0.9085	0.7022	0.9483	0.7426	0.9842	0.7819	1.0143	0.8232	1.0417	0.8605	1.0653	0.8998	1.09
32	-0.2251	0.0553	-0.1603	0.0968	-0.1052	0.1418	-0.0542	0.1869	-0.014	0.2407	0.0292	0.3035	0.0689	0.3398	0.1005	0.3617	0.1357	0.3798	0.1692	0.3965	0.202	0.4192	0.2603	0.5094	0.3146	0.6591	0.3678	0.7375	0.4149	0.7716	0.4637	0.8017	0.5063	0.8278	0.5504	0.8542	0.5909	0.8771	0.6302	0.8992	0.6715	0.9229	0.7088	0.9449	0.7481	0.9691
33	0.2999	0.4717	0.3736	0.6006	0.4347	0.7004	0.4862	0.7804	0.5244	0.8416	0.5623	0.9111	0.5948	0.9765	0.6213	1.0246	0.6501	1.0788	0.6772	1.1332	0.7034	1.1846	0.7482	1.2707	0.7896	1.3509	0.8319	1.4277	0.8689	1.4927	0.9071	1.5576	0.9389	1.6194	0.9718	1.683	1.0004	1.7426	1.0284	1.7993	1.0569	1.8601	1.0829	1.9134	1.1094	1.9705
34	-0.417	0.0043	-0.3524	0.0297	-0.294	0.0806	-0.245	0.0895	-0.2075	0.0947	-0.1678	0.1021	-0.1312	0.115	-0.102	0.1451	-0.0664	0.244	-0.0333	0.3119	-0.0021	0.3428	0.0511	0.3796	0.0975	0.4114	0.1398	0.4474	0.1767	0.4918	0.2182	0.594	0.2588	0.7671	0.2999	0.9198	0.3358	0.9791	0.3698	1.03	0.4044	1.0836	0.4352	1.1368	0.4671	1.2091
35	-0.4783	0.0044	-0.4148	0.0083	-0.3586	0.0287	-0.3112	0.0362	-0.274	0.0434	-0.2331	0.0612	-0.1954	0.0773	-0.1644	0.096	-0.1303	0.1428	-0.0971	0.191	-0.0661	0.2129	-0.0139	0.2391	0.0312	0.263	0.0718	0.294	0.1074	0.3396	0.1471	0.4392	0.1839	0.5486	0.2218	0.6506	0.2557	0.7063	0.288	0.7513	0.3211	0.8041	0.3509	0.8723	0.3837	0.966
36	-0.3124	0.0088	-0.2394	0.0127	-0.1793	0.0178	-0.1285	0.0286	-0.0902	0.0428	-0.0503	0.085	-0.0135	0.1756	0.0151	0.2433	0.045	0.2872	0.0724	0.3127	0.0982	0.337	0.1425	0.4237	0.1856	0.5294	0.2302	0.6275	0.2677	0.7004	0.3053	0.7631	0.3367	0.827	0.3691	0.8898	0.3982	0.9516	0.4266	1.0211	0.4563	1.1068	0.4827	1.1827	0.5099	1.2664
37	-0.3108	0.0444	-0.2432	0.08	-0.1864	0.097	-0.1359	0.1066	-0.0968	0.1302	-0.0536	0.1873	-0.0134	0.252	0.019	0.2869	0.0545	0.3061	0.0882	0.3168	0.1213	0.327	0.1784	0.3695	0.2329	0.5272	0.2867	0.6218	0.3345	0.6602	0.384	0.6936	0.4274	0.7215	0.4721	0.7497	0.5133	0.7741	0.5532	0.7977	0.5951	0.8227	0.6328	0.8459	0.6724	0.8721
38	-0.3389	0.0002	-0.2719	0.0009	-0.2141	0.0019	-0.1645	0.0089	-0.1269	0.0278	-0.0828	0.0745	-0.0473	0.1314	-0.0196	0.1661	0.0121	0.188	0.0422	0.2245	0.0719	0.2979	0.1225	0.4197	0.1694	0.493	0.2164	0.5451	0.2573	0.5871	0.2994	0.6261	0.3358	0.6581	0.3735	0.6892	0.407	0.7183	0.4392	0.7551	0.4739	0.8226	0.5076	0.9233	0.5445	1.0355
39	-0.371	0.0001	-0.3043	0.0004	-0.2467	0.0016	-0.1978	0.0195	-0.1575	0.0525	-0.1167	0.0783	-0.0821	0.0938	-0.0536	0.105	-0.0212	0.1482	0.0101	0.2203	0.04	0.2738	0.0913	0.3426	0.1387	0.3899	0.1858	0.4302	0.2271	0.4656	0.2699	0.4991	0.3072	0.5287	0.3462	0.562	0.3817	0.6005	0.4169	0.6556	0.4541	0.7524	0.4871	0.8586	0.5203	0.9357
40	-0.1738	0.0677	-0.1087	0.1089	-0.0536	0.1492	-0.0046	0.1794	0.0329	0.2031	0.0745	0.2632	0.1148	0.3488	0.1469	0.3865	0.1828	0.4328	0.2167	0.4736	0.2491	0.5009	0.3041	0.5414	0.3522	0.583	0.3973	0.6493	0.4387	0.7451	0.482	0.8098	0.5208	0.8531	0.5618	0.9118	0.5987	0.9533	0.6343	0.9871	0.6711	1.0202	0.7036	1.0524	0.7369	1.0927
41	0.0149	0.1956	0.0801	0.2356	0.1367	0.2714	0.1872	0.3167	0.2265	0.3601	0.2694	0.4062	0.3095	0.4462	0.342	0.4716	0.3788	0.5026	0.4138	0.5296	0.4472	0.5516	0.5042	0.5904	0.5543	0.6395	0.6012	0.7147	0.6443	0.7878	0.6904	0.8284	0.7316	0.8535	0.775	0.8877	0.8141	0.914	0.8518	0.9363	0.891	0.9584	0.9258	0.9792	0.9623	1.0032
42	-0.2881	0.0002	-0.2203	0.0008	-0.1622	0.0048	-0.1114	0.0402	-0.0724	0.0606	-0.0326	0.0712	0.0034	0.0832	0.0323	0.1242	0.0655	0.1934	0.0971	0.2391	0.1275	0.2735	0.1796	0.3209	0.2278	0.3569	0.2752	0.3954	0.317	0.4313	0.3604	0.4646	0.3984	0.4944	0.4378	0.5296	0.473	0.5713	0.507	0.6353	0.5439	0.7627	0.5778	0.8993	0.6126	0.9916
43	-0.0869	0.1889	-0.0203	0.2406	0.0382	0.2861	0.0899	0.332	0.1297	0.3678	0.1727	0.3996	0.2131	0.424	0.2459	0.4391	0.2826	0.4559	0.3175	0.4726	0.351	0.4898	0.4083	0.5293	0.4591	0.5949	0.5074	0.6933	0.5506	0.7528	0.5966	0.7754	0.638	0.7921	0.6813	0.8144	0.7204	0.833	0.7582	0.85	0.7973	0.8681	0.8322	0.8854	0.8688	0.9055
44	-0.0018	0.1216	0.0679	0.149	0.1267	0.1844	0.1805	0.2698	0.2229	0.3367	0.2671	0.3773	0.3078	0.4047	0.3404	0.4262	0.3764	0.4502	0.4104	0.4756	0.4436	0.5125	0.504	0.6571	0.5587	0.7554	0.6126	0.8088	0.6611	0.8566	0.7116	0.9027	0.7561	0.9425	0.8023	0.9845	0.8444	1.0217	0.8854	1.057	0.9286	1.0929	0.9676	1.1245	1.0087	1.1575
